Year,From_district,From_area,To_district,To_area,Amount
,Дальневосточный,Города,Дальне-Восточ-Ный,Города,"68,256"
,Приволжский,Города,Дальне-Восточ-Ный,Города,"3,664"
,Северо-Западный,Города,Дальне-Восточ-Ный,Города,"5,892"
,Северо-Кавказский,Города,Дальне-Восточ-Ный,Города,980
,Сибирский,Города,Дальне-Восточ-Ный,Города,"10,014"
,Уральский,Города,Дальне-Восточ-Ный,Города,"1,994"
,Центральный,Города,Дальне-Восточ-Ный,Города,"8,753"
,Южный,Города,Дальне-Восточ-Ный,Города,"4,775"
,Дальневосточный,Города,Приволж-Ский,Города,"4,639"
,Приволжский,Города,Приволж-Ский,Города,"165,401"
,Северо-Западный,Города,Приволж-Ский,Города,"19,301"
,Северо-Кавказский,Города,Приволж-Ский,Города,"2,336"
,Сибирский,Города,Приволж-Ский,Города,"7,178"
,Уральский,Города,Приволж-Ский,Города,"24,217"
,Центральный,Города,Приволж-Ский,Города,"40,292"
,Южный,Города,Приволж-Ский,Города,"7,719"
,Дальневосточный,Города,Северо-Западный,Города,"11,441"
,Приволжский,Города,Северо-Западный,Города,"26,440"
,Северо-Западный,Города,Северо-Западный,Города,"195,313"
,Северо-Кавказский,Города,Северо-Западный,Города,"6,698"
,Сибирский,Города,Северо-Западный,Города,"16,754"
,Уральский,Города,Северо-Западный,Города,"12,311"
,Центральный,Города,Северо-Западный,Города,"39,443"
,Южный,Города,Северо-Западный,Города,"15,631"
,Дальневосточный,Города,Северо-Кавказ-Ский,Города,"1,140"
,Приволжский,Города,Северо-Кавказ-Ский,Города,"2,056"
,Северо-Западный,Города,Северо-Кавказ-Ский,Города,"4,573"
,Северо-Кавказский,Города,Северо-Кавказ-Ский,Города,"23,300"
,Сибирский,Города,Северо-Кавказ-Ский,Города,"1,706"
,Уральский,Города,Северо-Кавказ-Ский,Города,"2,901"
,Центральный,Города,Северо-Кавказ-Ский,Города,"12,187"
,Южный,Города,Северо-Кавказ-Ский,Города,"7,684"
,Дальневосточный,Города,Сибир-Ский,Города,"10,777"
,Приволжский,Города,Сибир-Ский,Города,"5,772"
,Северо-Западный,Города,Сибир-Ский,Города,"8,715"
,Северо-Кавказский,Города,Сибир-Ский,Города,"1,461"
,Сибирский,Города,Сибир-Ский,Города,"179,703"
,Уральский,Города,Сибир-Ский,Города,"9,861"
,Центральный,Города,Сибир-Ский,Города,"15,180"
,Южный,Города,Сибир-Ский,Города,"6,338"
,Дальневосточный,Города,Ураль-Ский,Города,"2,307"
,Приволжский,Города,Ураль-Ский,Города,"23,402"
,Северо-Западный,Города,Ураль-Ский,Города,"7,252"
,Северо-Кавказский,Города,Ураль-Ский,Города,"3,180"
,Сибирский,Города,Ураль-Ский,Города,"12,644"
,Уральский,Города,Ураль-Ский,Города,"130,235"
,Центральный,Города,Ураль-Ский,Города,"12,822"
,Южный,Города,Ураль-Ский,Города,"7,068"
,Дальневосточный,Города,Централь-Ный,Города,"14,933"
,Приволжский,Города,Централь-Ный,Города,"61,331"
,Северо-Западный,Города,Централь-Ный,Города,"41,797"
,Северо-Кавказский,Города,Централь-Ный,Города,"18,061"
,Сибирский,Города,Централь-Ный,Города,"25,868"
,Уральский,Города,Централь-Ный,Города,"19,443"
,Центральный,Города,Централь-Ный,Города,"348,832"
,Южный,Города,Централь-Ный,Города,"34,733"
,Дальневосточный,Города,Южный,Города,"10,823"
,Приволжский,Города,Южный,Города,"12,026"
,Северо-Западный,Города,Южный,Города,"14,289"
,Северо-Кавказский,Города,Южный,Города,"11,271"
,Сибирский,Города,Южный,Города,"15,234"
,Уральский,Города,Южный,Города,"11,878"
,Центральный,Города,Южный,Города,"28,669"
,Южный,Города,Южный,Города,"81,240"
,Дальневосточный,Города,Дальне-Восточ-Ный,Сёла,"33,705"
,Приволжский,Города,Дальне-Восточ-Ный,Сёла,776
,Северо-Западный,Города,Дальне-Восточ-Ный,Сёла,799
,Северо-Кавказский,Города,Дальне-Восточ-Ный,Сёла,203
,Сибирский,Города,Дальне-Восточ-Ный,Сёла,"1,858"
,Уральский,Города,Дальне-Восточ-Ный,Сёла,400
,Центральный,Города,Дальне-Восточ-Ный,Сёла,"1,469"
,Южный,Города,Дальне-Восточ-Ный,Сёла,747
,Дальневосточный,Города,Приволж-Ский,Сёла,"1,620"
,Приволжский,Города,Приволж-Ский,Сёла,"169,885"
,Северо-Западный,Города,Приволж-Ский,Сёла,"5,676"
,Северо-Кавказский,Города,Приволж-Ский,Сёла,757
,Сибирский,Города,Приволж-Ский,Сёла,"2,703"
,Уральский,Города,Приволж-Ский,Сёла,"14,857"
,Центральный,Города,Приволж-Ский,Сёла,"14,123"
,Южный,Города,Приволж-Ский,Сёла,"2,322"
,Дальневосточный,Города,Северо-Западный,Сёла,"1,564"
,Приволжский,Города,Северо-Западный,Сёла,"4,047"
,Северо-Западный,Города,Северо-Западный,Сёла,"64,921"
,Северо-Кавказский,Города,Северо-Западный,Сёла,963
,Сибирский,Города,Северо-Западный,Сёла,"2,484"
,Уральский,Города,Северо-Западный,Сёла,"1,718"
,Центральный,Города,Северо-Западный,Сёла,"6,289"
,Южный,Города,Северо-Западный,Сёла,"1,939"
,Дальневосточный,Города,Северо-Кавказ-Ский,Сёла,778
,Приволжский,Города,Северо-Кавказ-Ский,Сёла,"1,544"
,Северо-Западный,Города,Северо-Кавказ-Ский,Сёла,"2,982"
,Северо-Кавказский,Города,Северо-Кавказ-Ский,Сёла,"25,226"
,Сибирский,Города,Северо-Кавказ-Ский,Сёла,"1,790"
,Уральский,Города,Северо-Кавказ-Ский,Сёла,"4,219"
,Центральный,Города,Северо-Кавказ-Ский,Сёла,"6,643"
,Южный,Города,Северо-Кавказ-Ский,Сёла,"5,442"
,Дальневосточный,Города,Сибир-Ский,Сёла,"3,449"
,Приволжский,Города,Сибир-Ский,Сёла,"1,172"
